PART ID,TYPE,MANUFACTURER,YEAR,Qty,PRECIO,SUBTOTAL INVENTORY,ACTIVE
PART0139,battery,Ford,2010,6.0,342.45,2054.7,0.0
PART0140,engine,Audi,2009,1.0,397.71,397.71,
PART0141,brake,Audi,2012,6.0,111.86,671.16,1.0
PART0142,transmission,Audi,2013,2.0,423.49,846.98,
PART0143,brake,Ford,2012,3.0,74.37,223.11,1.0
PART0144,suspension,Mercedes,2015,9.0,348.92,3140.28,
PART0145,tire,Mercedes,2003,1.0,306.07,306.07,
PART0146,engine,Audi,2020,5.0,290.46,1452.3,1.0
PART0147,suspension,Ford,2007,5.0,444.59,2222.95,1.0
PART0148,brake,Mercedes,2006,8.0,365.34,2922.72,1.0
PART0149,brake,Mercedes,2016,8.0,353.57,2828.56,0.0
PART0150,suspension,Mercedes,2005,4.0,338.42,1353.68,
PART0151,transmission,BMW,2010,9.0,138.29,1244.61,0.0
PART0152,tire,Ford,2012,3.0,363.52,1090.56,1.0
PART0153,engine,Mercedes,2008,8.0,376.67,3013.36,0.0
PART0154,suspension,Toyota,2009,5.0,402.32,2011.6,
PART0155,brake,Toyota,2007,9.0,356.5,3208.5,
PART0156,brake,Ford,2012,7.0,224.87,1574.0900000000001,
PART0157,suspension,Honda,2020,6.0,384.65,2307.8999999999996,
PART0158,engine,Volkswagen,2005,2.0,110.37,220.74,0.0
PART0159,brake,BMW,2009,4.0,132.67,530.68,
PART0160,transmission,Toyota,2008,9.0,72.03,648.27,0.0
PART0161,engine,Toyota,2002,5.0,259.73,1298.65,0.0
PART0162,brake,Mercedes,2016,5.0,489.51,2447.55,0.0
PART0163,engine,Volkswagen,2002,9.0,231.6,2084.4,
PART0164,engine,Volkswagen,2014,7.0,243.0,1701.0,0.0
PART0165,suspension,Ford,2006,2.0,115.06,230.12,0.0
PART0166,suspension,Honda,2009,8.0,402.9,3223.2,0.0
PART0167,suspension,Volkswagen,2009,5.0,199.18,995.9000000000001,
PART0168,brake,BMW,2021,1.0,219.72,219.72,1.0
PART0169,transmission,Ford,2012,6.0,334.76,2008.56,0.0
PART0170,suspension,Ford,2000,7.0,61.07,427.49,0.0
PART0171,brake,Mercedes,2000,6.0,192.06,1152.3600000000001,1.0
PART0172,transmission,Mercedes,2016,9.0,263.73,2373.57,
PART0173,suspension,Volkswagen,2002,7.0,363.05,2541.35,0.0
PART0174,tire,Ford,2005,3.0,72.54,217.62,0.0
PART0175,battery,Honda,2010,7.0,468.22,3277.54,1.0
PART0176,suspension,Honda,2018,6.0,254.54,1527.24,1.0
PART0177,transmission,Mercedes,2010,5.0,299.67,1498.3500000000001,0.0
PART0178,brake,BMW,2009,9.0,110.69,996.21,1.0
PART0179,tire,Honda,2006,8.0,480.4,3843.2,1.0
PART0180,suspension,Ford,2021,7.0,137.5,962.5,
PART0181,transmission,Toyota,2001,2.0,251.94,503.88,
PART0182,battery,Volkswagen,2002,6.0,341.48,2048.88,0.0
PART0183,suspension,BMW,2017,2.0,428.57,857.14,
PART0184,suspension,Audi,2000,5.0,336.55,1682.75,
PART0185,tire,Audi,2008,8.0,306.64,2453.12,0.0
PART0186,brake,Toyota,2019,4.0,319.48,1277.92,1.0
PART0187,brake,Volkswagen,2018,6.0,499.97,2999.82,0.0
PART0188,tire,Volkswagen,2001,6.0,497.53,2985.18,1.0
PART0189,suspension,Audi,2003,2.0,446.48,892.96,1.0
PART0190,engine,Toyota,2016,2.0,428.82,857.64,1.0
PART0191,transmission,Audi,2015,8.0,86.31,690.48,1.0
PART0192,transmission,BMW,2011,7.0,78.22,547.54,
PART0193,engine,Toyota,2014,8.0,85.8,686.4,1.0
PART0194,brake,Volkswagen,2012,3.0,498.6,1495.8000000000002,
PART0195,transmission,BMW,2000,3.0,485.65,1456.9499999999998,1.0
PART0196,engine,Toyota,2014,2.0,121.59,243.18,1.0
PART0197,suspension,Honda,2005,8.0,202.76,1622.08,1.0
PART0198,suspension,Ford,2009,3.0,171.73,515.1899999999999,
PART0199,battery,Honda,2016,7.0,487.24,3410.6800000000003,
PART0200,engine,Audi,2010,4.0,361.05,1444.2,1.0
PART0201,brake,Mercedes,2011,3.0,159.33,477.99,1.0
PART0202,battery,Audi,2018,7.0,93.11,651.77,0.0
PART0203,battery,Honda,2014,4.0,462.46,1849.84,0.0
PART0204,engine,Ford,2008,3.0,476.47,1429.41,0.0
PART0205,brake,BMW,2022,3.0,447.14,1341.42,
PART0206,suspension,Ford,2001,5.0,186.8,934.0,
PART0207,brake,Volkswagen,2007,9.0,494.02,4446.18,1.0
PART0208,brake,Ford,2009,3.0,159.18,477.54,1.0
PART0209,suspension,Honda,2014,4.0,209.88,839.52,1.0
PART0210,brake,Honda,2016,2.0,166.04,332.08,1.0
PART0211,battery,Volkswagen,2002,2.0,133.78,267.56,1.0
PART0212,transmission,BMW,2000,1.0,434.35,434.35,
PART0213,engine,Honda,2002,4.0,78.06,312.24,
PART0214,transmission,BMW,2012,1.0,476.23,476.23,1.0
PART0215,battery,Honda,2010,1.0,191.55,191.55,0.0
PART0216,transmission,Honda,2010,2.0,154.31,308.62,0.0
PART0217,transmission,BMW,2011,5.0,281.32,1406.6,
PART0218,tire,Mercedes,2008,9.0,327.85,2950.65,1.0
PART0219,engine,BMW,2006,5.0,284.79,1423.95,1.0
PART0220,engine,Ford,2015,4.0,163.79,655.16,0.0
PART0221,tire,Honda,2014,4.0,446.8,1787.2,
PART0222,battery,Ford,2015,8.0,158.42,1267.36,1.0
PART0223,tire,Toyota,2008,2.0,371.82,743.64,0.0
PART0224,tire,Volkswagen,2020,9.0,427.85,3850.65,
PART0225,engine,Mercedes,2011,9.0,133.46,1201.14,0.0
PART0226,battery,Honda,2015,1.0,271.11,271.11,1.0
PART0227,battery,BMW,2002,8.0,214.51,1716.08,1.0
PART0228,transmission,Ford,2022,9.0,281.44,2532.96,1.0
PART0229,brake,Audi,2012,8.0,345.41,2763.28,
PART0230,transmission,Ford,2003,1.0,352.17,352.17,0.0
PART0231,transmission,Audi,2021,2.0,154.8,309.6,1.0
PART0232,battery,Mercedes,2015,9.0,225.76,2031.84,1.0
PART0233,transmission,Honda,2016,3.0,323.81,971.4300000000001,
PART0234,engine,Audi,2004,9.0,368.46,3316.14,1.0
PART0235,battery,Mercedes,2020,6.0,496.56,2979.36,0.0
PART0236,suspension,Honda,2012,3.0,329.4,988.1999999999999,0.0
PART0237,tire,BMW,2005,4.0,222.77,891.08,
PART0238,brake,Ford,2001,4.0,65.51,262.04,1.0
PART0239,transmission,Honda,2007,4.0,309.93,1239.72,1.0
PART0240,tire,Toyota,2016,9.0,473.93,4265.37,0.0
PART0241,engine,Ford,2011,9.0,79.24,713.16,0.0
PART0242,brake,Ford,2006,2.0,111.36,222.72,
PART0243,battery,Mercedes,2016,7.0,395.28,2766.96,
PART0244,engine,Toyota,2017,7.0,304.04,2128.28,0.0
PART0245,tire,BMW,2011,5.0,198.03,990.15,0.0
PART0246,tire,Ford,2019,4.0,336.25,1345.0,0.0
PART0247,tire,Ford,2013,5.0,304.53,1522.6499999999999,
PART0248,engine,Ford,2011,8.0,132.05,1056.4,0.0
PART0249,battery,Mercedes,2020,9.0,254.47,2290.23,1.0
PART0250,transmission,Mercedes,2017,2.0,354.22,708.44,
PART0251,transmission,Volkswagen,2018,8.0,388.97,3111.76,
PART0252,battery,Toyota,2011,1.0,255.08,255.08,
PART0253,tire,Honda,2002,1.0,253.23,253.23,0.0
PART0254,engine,BMW,2001,7.0,216.3,1514.1000000000001,0.0
PART0255,engine,BMW,2010,2.0,298.92,597.84,1.0
PART0256,suspension,Audi,2000,9.0,94.11,846.99,
PART0257,battery,Ford,2018,3.0,85.18,255.54000000000002,1.0
PART0258,transmission,Toyota,2021,8.0,250.13,2001.04,1.0
PART0259,transmission,Audi,2019,5.0,106.13,530.65,0.0
PART0260,transmission,Volkswagen,2006,9.0,269.34,2424.06,1.0
PART0261,brake,Volkswagen,2010,3.0,482.58,1447.74,
PART0262,battery,Ford,2011,4.0,160.76,643.04,1.0
PART0263,tire,Mercedes,2004,2.0,290.75,581.5,0.0
PART0264,engine,Volkswagen,2013,5.0,425.83,2129.15,1.0
PART0265,battery,Honda,2015,3.0,222.17,666.51,
PART0266,battery,Honda,2003,4.0,350.15,1400.6,
PART0267,suspension,Audi,2010,4.0,81.28,325.12,1.0
PART0268,brake,BMW,2022,1.0,119.37,119.37,0.0
PART0269,tire,Mercedes,2013,4.0,68.24,272.96,0.0
PART0270,engine,Volkswagen,2016,1.0,132.46,132.46,1.0
PART0271,brake,Audi,2014,7.0,407.44,2852.08,1.0
PART0272,battery,Mercedes,2017,9.0,348.68,3138.12,1.0
PART0273,battery,Toyota,2007,8.0,405.69,3245.52,0.0
PART0274,brake,Audi,2008,6.0,426.63,2559.7799999999997,
PART0275,brake,Honda,2021,4.0,482.25,1929.0,1.0
PART0276,battery,BMW,2014,1.0,147.11,147.11,
PART0277,tire,Audi,2011,4.0,93.6,374.4,
PART0278,suspension,Audi,2013,4.0,248.4,993.6,0.0
PART0279,battery,Toyota,2015,9.0,462.39,4161.51,
PART0280,battery,Ford,2007,9.0,310.37,2793.33,
PART0281,battery,Mercedes,2021,2.0,55.99,111.98,1.0
PART0282,brake,Honda,2012,3.0,349.79,1049.3700000000001,
PART0283,brake,Ford,2003,6.0,316.07,1896.42,1.0
PART0284,suspension,Audi,2009,6.0,230.4,1382.4,0.0
PART0285,tire,Volkswagen,2005,1.0,498.97,498.97,
PART0286,engine,Volkswagen,2015,5.0,351.15,1755.75,
PART0287,transmission,Honda,2019,2.0,145.43,290.86,
PART0288,transmission,Mercedes,2004,8.0,173.82,1390.56,1.0
PART0289,transmission,Audi,2012,3.0,383.71,1151.1299999999999,0.0
PART0290,transmission,Ford,2007,1.0,389.4,389.4,1.0
PART0291,suspension,Toyota,2017,9.0,421.05,3789.4500000000003,
PART0292,engine,BMW,2017,1.0,255.75,255.75,1.0
PART0293,suspension,Honda,2015,9.0,296.93,2672.37,
PART0294,suspension,Honda,2019,2.0,111.69,223.38,
PART0295,battery,Volkswagen,2015,4.0,493.65,1974.6,
PART0296,tire,Audi,2003,2.0,293.87,587.74,
PART0297,brake,Honda,2007,9.0,137.46,1237.14,1.0
PART0298,tire,BMW,2006,5.0,395.38,1976.9,1.0
PART0299,tire,Honda,2010,7.0,312.46,2187.22,0.0
PART0300,tire,Mercedes,2013,2.0,329.74,659.48,
PART0301,brake,Toyota,2005,6.0,152.66,915.96,
PART0302,suspension,BMW,2001,2.0,337.73,675.46,0.0
PART0303,tire,Honda,2013,5.0,315.15,1575.75,
PART0304,transmission,BMW,2016,5.0,267.24,1336.2,
PART0305,battery,Mercedes,2005,9.0,467.97,4211.7300000000005,
PART0306,tire,Audi,2009,5.0,328.23,1641.15,0.0
PART0307,brake,Ford,2014,9.0,184.25,1658.25,
PART0308,brake,Ford,2022,7.0,483.78,3386.46,1.0
PART0309,brake,Ford,2017,8.0,467.83,3742.64,
PART0310,transmission,Ford,2012,6.0,486.57,2919.42,
PART0311,tire,Honda,2011,1.0,147.02,147.02,
PART0312,battery,Audi,2014,9.0,110.46,994.14,1.0
PART0313,brake,Volkswagen,2011,4.0,60.84,243.36,1.0
PART0314,tire,Mercedes,2004,1.0,107.1,107.1,0.0
PART0315,tire,Ford,2014,8.0,169.97,1359.76,1.0
PART0316,battery,Mercedes,2010,6.0,434.46,2606.7599999999998,1.0
PART0317,battery,Toyota,2001,3.0,128.75,386.25,1.0
PART0318,brake,Mercedes,2001,8.0,219.26,1754.08,0.0
PART0319,brake,Audi,2008,2.0,390.99,781.98,
PART0320,engine,Ford,2018,9.0,216.25,1946.25,0.0
PART0321,tire,Honda,2015,5.0,107.5,537.5,1.0
PART0322,brake,Mercedes,2007,5.0,61.92,309.6,1.0
PART0323,tire,Ford,2021,3.0,349.44,1048.32,
PART0324,tire,Volkswagen,2017,2.0,203.71,407.42,
PART0325,transmission,Audi,2006,7.0,155.02,1085.14,1.0
PART0326,suspension,Audi,2021,2.0,281.99,563.98,
PART0327,tire,Ford,2010,8.0,482.94,3863.52,0.0
PART0328,brake,Volkswagen,2017,8.0,54.37,434.96,0.0
PART0329,suspension,BMW,2004,9.0,315.92,2843.28,0.0
PART0330,transmission,Ford,2017,1.0,121.41,121.41,
PART0331,transmission,BMW,2009,5.0,373.58,1867.8999999999999,
PART0332,transmission,Mercedes,2006,5.0,284.78,1423.8999999999999,
PART0333,battery,Mercedes,2012,9.0,103.4,930.6,
PART0334,brake,Volkswagen,2009,9.0,368.08,3312.72,1.0
PART0335,transmission,Audi,2021,9.0,412.86,3715.7400000000002,1.0
PART0336,battery,Mercedes,2018,2.0,198.93,397.86,0.0
PART0337,battery,Audi,2019,4.0,128.45,513.8,1.0
PART0338,battery,Audi,2008,5.0,295.03,1475.1499999999999,0.0
PART0339,transmission,Honda,2015,9.0,470.74,4236.66,
PART0340,transmission,Toyota,2000,8.0,498.92,3991.36,
PART0341,engine,Mercedes,2012,4.0,343.4,1373.6,
PART0342,brake,Audi,2017,9.0,358.73,3228.57,0.0
PART0343,engine,BMW,2008,1.0,475.44,475.44,
PART0344,battery,Audi,2008,4.0,256.35,1025.4,1.0
PART0345,suspension,Volkswagen,2019,2.0,294.18,588.36,
PART0346,engine,Mercedes,2021,3.0,435.76,1307.28,
PART0347,tire,BMW,2012,8.0,119.97,959.76,0.0
PART0348,suspension,Ford,2021,5.0,394.71,1973.55,
PART0349,suspension,Volkswagen,2011,5.0,218.12,1090.6,1.0
PART0350,engine,BMW,2021,5.0,272.79,1363.95,0.0
PART0351,transmission,Volkswagen,2011,1.0,427.29,427.29,1.0
PART0352,suspension,Volkswagen,2008,2.0,403.21,806.42,0.0
PART0353,battery,Toyota,2001,2.0,389.87,779.74,0.0
PART0354,brake,Audi,2021,6.0,213.74,1282.44,0.0
PART0355,transmission,Volkswagen,2016,5.0,489.31,2446.55,1.0
PART0356,tire,Honda,2002,1.0,283.39,283.39,0.0
PART0357,engine,BMW,2002,6.0,147.68,886.08,1.0
PART0358,tire,Volkswagen,2022,3.0,324.29,972.8700000000001,1.0
PART0359,tire,BMW,2006,3.0,395.29,1185.8700000000001,1.0
PART0360,engine,Volkswagen,2019,8.0,383.87,3070.96,
PART0361,brake,Volkswagen,2019,5.0,57.86,289.3,0.0
PART0362,brake,Toyota,2006,2.0,485.08,970.16,1.0
PART0363,transmission,Volkswagen,2009,3.0,208.93,626.79,
PART0364,suspension,Honda,2010,8.0,436.3,3490.4,1.0
PART0365,battery,Mercedes,2000,5.0,296.19,1480.95,0.0
PART0366,suspension,Ford,2000,2.0,268.87,537.74,
PART0367,suspension,Audi,2012,5.0,246.83,1234.15,0.0
PART0368,battery,Audi,2016,5.0,434.44,2172.2,0.0
PART0369,tire,Volkswagen,2004,2.0,137.9,275.8,0.0
PART0370,engine,Volkswagen,2003,3.0,182.37,547.11,1.0
PART0371,tire,Audi,2001,2.0,125.24,250.48,
PART0372,suspension,Mercedes,2004,9.0,409.1,3681.9,
PART0373,battery,Toyota,2012,6.0,52.16,312.96,0.0
PART0374,battery,Honda,2002,7.0,170.08,1190.5600000000002,0.0
PART0375,battery,Ford,2013,8.0,476.65,3813.2,
PART0376,suspension,Volkswagen,2002,5.0,271.18,1355.9,0.0
PART0377,brake,BMW,2010,1.0,274.21,274.21,
PART0378,tire,Honda,2000,9.0,102.9,926.1,0.0
PART0379,brake,Toyota,2013,7.0,149.91,1049.37,1.0
PART0380,suspension,Mercedes,2016,6.0,339.85,2039.1000000000001,0.0
PART0381,tire,BMW,2022,7.0,475.61,3329.27,1.0
PART0382,transmission,Audi,2005,9.0,83.45,751.0500000000001,0.0
PART0383,brake,BMW,2001,7.0,356.34,2494.3799999999997,
PART0384,tire,Toyota,2009,4.0,97.87,391.48,0.0
PART0385,tire,Toyota,2009,4.0,433.26,1733.04,0.0
PART0386,brake,Ford,2007,1.0,317.0,317.0,1.0
PART0387,suspension,Ford,2013,8.0,370.02,2960.16,1.0
PART0388,engine,Honda,2005,8.0,443.08,3544.64,
PART0389,brake,Volkswagen,2019,5.0,421.62,2108.1,1.0
PART0390,transmission,Honda,2022,3.0,443.78,1331.34,
PART0391,tire,Volkswagen,2011,4.0,166.25,665.0,0.0
PART0392,battery,Honda,2012,5.0,162.43,812.1500000000001,1.0
PART0393,tire,Mercedes,2005,4.0,54.26,217.04,
PART0394,battery,Mercedes,2008,1.0,102.95,102.95,0.0
PART0395,suspension,BMW,2016,2.0,137.81,275.62,1.0
PART0396,tire,Ford,2011,2.0,268.77,537.54,
PART0397,tire,Volkswagen,2017,5.0,441.02,2205.1,
PART0398,suspension,Ford,2018,3.0,58.57,175.71,
PART0399,transmission,Honda,2001,6.0,182.1,1092.6,1.0
PART0400,engine,BMW,2022,9.0,302.01,2718.09,0.0
PART0401,tire,Volkswagen,2015,4.0,489.77,1959.08,
PART0402,battery,BMW,2015,6.0,312.91,1877.46,0.0
PART0403,tire,BMW,2000,8.0,362.35,2898.8,0.0
PART0404,transmission,Toyota,2008,8.0,396.29,3170.32,0.0
PART0405,engine,Mercedes,2020,8.0,252.47,2019.76,
PART0406,transmission,Ford,2008,7.0,204.61,1432.27,
PART0407,transmission,Audi,2003,2.0,473.05,946.1,
PART0408,battery,BMW,2016,2.0,88.33,176.66,
PART0409,brake,Honda,2017,9.0,301.31,2711.79,
PART0410,suspension,Honda,2012,3.0,347.01,1041.03,1.0
PART0411,brake,Ford,2003,7.0,250.72,1755.04,
PART0412,transmission,Toyota,2021,3.0,485.02,1455.06,1.0
PART0413,brake,Audi,2021,2.0,68.73,137.46,
PART0414,engine,Mercedes,2004,5.0,161.59,807.95,0.0
PART0415,brake,BMW,2004,9.0,78.82,709.3799999999999,0.0
PART0416,transmission,Honda,2005,3.0,151.18,453.54,0.0
PART0417,suspension,BMW,2014,3.0,229.13,687.39,
PART0418,tire,Audi,2014,4.0,299.23,1196.92,0.0
PART0419,suspension,Volkswagen,2016,6.0,333.39,2000.34,
PART0420,transmission,Honda,2017,9.0,65.01,585.09,
PART0421,suspension,Honda,2001,9.0,310.48,2794.32,0.0
PART0422,battery,Ford,2009,7.0,163.36,1143.52,
PART0423,engine,Mercedes,2020,7.0,385.95,2701.65,0.0
PART0424,brake,Ford,2015,3.0,54.88,164.64000000000001,1.0
PART0425,engine,Audi,2015,2.0,366.8,733.6,1.0
PART0426,transmission,Volkswagen,2006,4.0,297.22,1188.88,0.0
PART0427,brake,Honda,2012,7.0,473.85,3316.9500000000003,1.0
PART0428,battery,Volkswagen,2016,7.0,191.96,1343.72,0.0
PART0429,suspension,Volkswagen,2003,2.0,113.45,226.9,0.0
PART0430,engine,BMW,2008,6.0,249.96,1499.76,1.0
PART0431,battery,Toyota,2011,8.0,328.22,2625.76,
PART0432,brake,Toyota,2005,2.0,436.67,873.34,1.0
